"Id","SalePrice"
1461,149950
1462,198066.666666667
1463,179466.666666667
1464,199366.666666667
1465,154813.333333333
1466,183445.833333333
1467,145416.666666667
1468,159737
1469,166075
1470,131833.333333333
1471,222000
1472,98750
1473,98983.3333333333
1474,158083.333333333
1475,119066.666666667
1476,296538.666666667
1477,200030
1478,227286.333333333
1479,310121.666666667
1480,370400
1481,284508.333333333
1482,192915.666666667
1483,125300
1484,178845.833333333
1485,165250
1486,186616.666666667
1487,274837.333333333
1488,208331.666666667
1489,152008.5
1490,196416.666666667
1491,201916.666666667
1492,126175
1493,182033.333333333
1494,226166.666666667
1495,289000
1496,248900
1497,141400.666666667
1498,144147.5
1499,147688.833333333
1500,153022.166666667
1501,173816.666666667
1502,113150
1503,271316.666666667
1504,188750
1505,239500
1506,182958.333333333
1507,286625
1508,187333.333333333
1509,174700
1510,161133.333333333
1511,153900
1512,195216.666666667
1513,160108.333333333
1514,269566.666666667
1515,224066.666666667
1516,145849.5
1517,171000
1518,190600
1519,226416.666666667
1520,130250
1521,151583.333333333
1522,178316.666666667
1523,109544.333333333
1524,111508.333333333
1525,130708.333333333
1526,145583.333333333
1527,123833.333333333
1528,149266.666666667
1529,147416.666666667
1530,164583.333333333
1531,133739
1532,143150
1533,148750
1534,123416.666666667
1535,183766.666666667
1536,113941.666666667
1537,127258.333333333
1538,144583.333333333
1539,162250
1540,165750
1541,135775
1542,134083.333333333
1543,187183.333333333
1544,95166.6666666667
1545,120833.333333333
1546,123566.666666667
1547,124591.666666667
1548,122000
1549,115916.666666667
1550,131491.666666667
1551,154583.333333333
1552,179158.333333333
1553,198147.833333333
1554,134276
1555,262653.666666667
1556,133333.333333333
1557,152666.666666667
1558,109416.666666667
1559,139033.333333333
1560,124333.333333333
1561,199300
1562,132916.666666667
1563,125816.666666667
1564,188972.833333333
1565,169733.333333333
1566,240833.333333333
1567,111091.666666667
1568,221944.166666667
1569,183000
1570,147500
1571,130166.666666667
1572,156750
1573,188083.333333333
1574,176606.833333333
1575,166166.666666667
1576,220083.333333333
1577,190875
1578,180601.666666667
1579,136166.666666667
1580,182166.666666667
1581,169283.333333333
1582,119416.666666667
1583,329848.666666667
1584,209083.333333333
1585,143983.333333333
1586,80868.5
1587,96898.8333333333
1588,158066.666666667
1589,150666.666666667
1590,112583.333333333
1591,109541.666666667
1592,165130
1593,106250
1594,176342.166666667
1595,138083.333333333
1596,181666.666666667
1597,233955
1598,187661.666666667
1599,139483.333333333
1600,187100.166666667
1601,96313.8333333333
1602,124900
1603,95248.8333333333
1604,226489.833333333
1605,257708.333333333
1606,160733.333333333
1607,261898.833333333
1608,199551.333333333
1609,128331.666666667
1610,143750
1611,194652.833333333
1612,203130.5
1613,207051.333333333
1614,136583.333333333
1615,108333.333333333
1616,93000
1617,100983.333333333
1618,124083.333333333
1619,134625
1620,162583.333333333
1621,144666.666666667
1622,156833.333333333
1623,221179.5
1624,206447.666666667
1625,140525
1626,184166.666666667
1627,218298.333333333
1628,274416.666666667
1629,178150
1630,222050
1631,182783.333333333
1632,227700
1633,153566.666666667
1634,184783.333333333
1635,196416.666666667
1636,177454.833333333
1637,218966.666666667
1638,177147.833333333
1639,186023.5
1640,309850
1641,185416.666666667
1642,177816.666666667
1643,175583.333333333
1644,193783.333333333
1645,204179.5
1646,150983.333333333
1647,154050
1648,169816.666666667
1649,134666.666666667
1650,130360
1651,114333.333333333
1652,95066.6666666667
1653,96983.3333333333
1654,158083.333333333
1655,120000
1656,158083.333333333
1657,158083.333333333
1658,158500
1659,89250
1660,136733.333333333
1661,382285.166666667
1662,310546.666666667
1663,373163
1664,392026.166666667
1665,245302.166666667
1666,244416.666666667
1667,278020.833333333
1668,246316.666666667
1669,232750
1670,353554.666666667
1671,287816.666666667
1672,395666.666666667
1673,264855.333333333
1674,242181.333333333
1675,197791.666666667
1676,198750
1677,183316.666666667
1678,373416.666666667
1679,357500
1680,222908.333333333
1681,192032.333333333
1682,231916.666666667
1683,194458.333333333
1684,168972.5
1685,174073.333333333
1686,178845.833333333
1687,149900
1688,182058.333333333
1689,182862.5
1690,184250
1691,172016.666666667
1692,232083.333333333
1693,148500
1694,201983.333333333
1695,164933.333333333
1696,269000
1697,162850
1698,322781
1699,235625
1700,211916.666666667
1701,243758.333333333
1702,220950
1703,239957.166666667
1704,281466.666666667
1705,196733.333333333
1706,355737.333333333
1707,185266.666666667
1708,195946.666666667
1709,246284.666666667
1710,190875
1711,261125
1712,229160.166666667
1713,260833.333333333
1714,214576
1715,212072.5
1716,125822
1717,187958.333333333
1718,156866.666666667
1719,204445.833333333
1720,191458.333333333
1721,129900
1722,132483.333333333
1723,147258.333333333
1724,192915.666666667
1725,219616.666666667
1726,170183.333333333
1727,192915.666666667
1728,142816.666666667
1729,151466.666666667
1730,150000
1731,133687.5
1732,137833.333333333
1733,122750
1734,130983.333333333
1735,126833.333333333
1736,115216.666666667
1737,327083.333333333
1738,176066.666666667
1739,143000
1740,202766.833333333
1741,162383.333333333
1742,167288.833333333
1743,148550
1744,329000
1745,253599.166666667
1746,172583.333333333
1747,216750
1748,240083.333333333
1749,157941.666666667
1750,143250
